,category,text,grupo
0,0,"  That's a question for the Gov, but as you can see FL wil… ",0
1,1,"Update: Collision; highway WB: at Exit194, no lns clsd, Ocrd: // :19AM.| :36P",1
2,0,SNAP E&amp;T Learning Academy builds national leadership for the program ,0
3,0,What Do You Mean? Taking it worldwide . #14Days ,0
4,1,Disabled Vehicle on Northbound highway NB at Mile Marker .,1
5,0,Direct hit! See how our #THAAD system intercepted a missile target in major U.S. test: ,0
6,0,Shout-out to the Class of ' arriving in the burg today! General move-in is just days away. Who's… ,0
7,1,"NB highway after 84th St
Left Lane Blocked
Due to a Crash
Kent County

Randy Weits
//
:",1
8,1,Snoqualmie: Construction season is underway &amp; there are work zones on highway. Make sure &amp; check Travel Alerts page to ,0
9,1,Moving work crew - NB highway from mile to Mile. Right lane closed.,1
10,0,Waiting for ‘miracle food’. A story of survival from  ,0
11,1,Incident on #NJ21 SB at Exit - NJ ,1
12,0," Thanks for the follow up, Keith. Please report this issue to us here: Thanks! -CB",0
13,1,Update: Construction on #7Line Queens bound from Queensboro Plaza Station to Willets Point-Shea Stadium Station ,1
14,0,The perfect fit: getting kitted out in her official #TeamUSA closing ceremony uniform ,0
15,0," That road trip sounds perfect Andrew with a nice choice of color set against the snow, very nice. 👍",0
16,1,Cleared: Closure on #NJ37 WB at Garden State Parkway,1
17,0,"Meanwhile in LA... the Lakers are getting focused for the new season 🎶 

(Via gunnarfitness/ IG) ",0
18,1,Cleared: Incident on #ALine NB from Euclid Avenue Station to Broadway-East New York Station,1
19,1,CLEARED: Incident cleared on highway southbound at Exit - Paxtonia.,1
20,1,"Due to flooding in the area, SR- EB at the Turnpike NB entrance ramp is closed. Motorists should use caution...",1
21,0,"Via the youth tackle football league localized in Jefferson County, Oregon: ",0
22,0,"It's never too early to start planning for the weekend. 

Just started working on the latest rendition of our belov… ",0
23,1,Cleared: Construction on #NY27 Both directions from County Line Road; CR to Great Neck Road; CR ,1
24,0,"Restaurant's Reservation Policy Allows It to Sue Yelpers, Online Critics ",0
25,0,Don't gas up my insecurities by making me feel like I'm annoying and then get mad that I pull away.,0
26,0,"When the weather heats up, make sure your summer style stays hotter.  ",0
27,1,"New: Crash involving truck in Sumter on Floridas Turnpike south ramp to Exit highway, off-ramp closed. Last...",1
28,0,I'm so stressed to the point don't shit faze me no more 🎯👌🏾,0
29,0,Hope you're watching with me! #WorldOfDance #LetsDance on NBC now! ,0
30,0,Orientation is taking place at South Central Michigan Virtual today! Students are excited to begin the year! ,0
31,1,Incident on #GardenStateParkway NB from South of Exit - Watchung St to Exit 153A - NJ ,1
32,1, A major crash around mile jammed traffic. controlled the scene and we sent alerts thru media. Sorry you got stuck!,1
33,1,Multi vehicle crash on highway southbound at Mile Post: .. There is a lane restriction.,1
34,0,Beans phi-nan-dangles out to the mound for bottom . #DarkClouds,0
35,1,Cleared: Incident on #7Line Manhattan bound at 74th Street-Broadway Station,1
36,1,Update: Incident on #ALine Both directions from Euclid Avenue Station to Lefferts Boulevard-Ozone Park Station...,1
37,0, Tips To Give Your Host Stand Some Personality (Back Burner / Blogs at Foodservice.com)  ,0
38,0,"""Unscrew your head and shit down your neck"" Full Metal Jacket got me deaaaddddd this bouta be in my top ",0
39,0,What A Day for this city! I'm so damn humbled &amp; honored to be one to bring happiness and joy to it all! You guys deserve.....,0
40,1,"New: Crash in Duval on highway E north before Baymeadows, left lane blocked. Last updated at ::32AM. #fl511 ",1
41,1,highway: road reopened btwn .3mi E of SD244 and .4mi E of US16B-Hill City.,1
42,1,Road Closed Eastbound on highway - LOCKWOOD INTERCHANGE TO PINEHILLS INTERCHANGE from milepost . to . ... ,1
43,0,"After thirty years in Congress, Senator, this should not be your proudest accomplishment. ",0
44,1,Pottawatomie County: I40 EB JW US177 is an injury accident with the roadway blocked...teg,1
45,1,Info: 72nd Street is closed at Josephine. Both southbound lanes.,1
46,1,Updated: Construction on #ALine Both directions from W 4th Street-Washington Square Station to Jay Street-Metro...,1
47,1,TRAFFIC ADVISORY: Elm St. will be closed Saturday August and Sunday August due to bridge repairs. More info:… ,1
48,1,"Cleared: Crash in Lee on highway south beyond Littleton Rd, all lanes blocked. Last updated at ::30PM.",1
49,1,Noble Co: The inside lanes of highway northbound and southbound at mile marker . Roadway is OPEN.....RRW ,1
50,0,"Sec Vilsack: Some of our #RuralResults together under the Obama Administration?

↑ rural wages
↓ rural child poverty
↓ rural unemployment",0
51,0, Chand - please contact us at so we can address your issue. Thanks.,0
52,0,A Balance Between the Factory and the Local Farm ,0
53,0,"McKinley was assassinated at Buffalo’s Pan-American Expo. Today, it’s a residential street with a small marker.… ",0
54,0,TSU plates one on and RBI single. down in top of .,0
55,0,"#PHX, Did you see the #movingtip we shared during the  show today? ",0
56,0,"Earlier this month, Missouri's GOP legislature and governor forced St. Louis to lower its minimum wage. ",0
57,1,"Accident, SR North and South at SR , of lanes blocked. #StephensCounty #511GA",1
58,1,highway SB btwn Ames and Huxley: Still seeing delays due to a crash. Updates ,1
59,1,DELAYS: NB exit to SR - delays on the ramp. Possibly a crash ahead of this image. Flashing lights on the way! ,1
60,1,Updated: Incident on #Bxm2Bus NB from 6th Avenue: 39th Street to 6th Avenue: 57th Street ,1
61,1,"Cleared: Crash in Orange on SR- east at Exit 13A Conway Rd, right lanes blocked. Last updated at ::30PM.",1
62,0,"Artificial Intelligence Company, Investment Advisers Sign 26K SF in Leases at WTC ",0
63,1,CLEARED: Roadwork on highway eastbound at PA North.,1
64,0,Nittany Lions leave on in bottom one. Gretz back out to deal with Drexel leading -,0
65,0,I constantly feel we are traveling backwards in time. #HistoricProperty survey is up next. How many will be lost? ,0
66,0," Hi there, thank you for reaching out! As we are the Samsonite based out of the US, we are currently working on an answer for you!",0
67,0,#SLC: Grab your ☕️! Coming up on U-Haul's new #TVspot featuring ⭐️ #UBox! Don't miss it during the show: ,0
68,0,"Crews have restored power to more than , customers in the Cross Lanes, WV area after a malfunction in the Dalewood substation.",0
69,0,ASPIRE Prize recognizes young scientists for “new materials technologies” (w/  ,0
70,1,Accident: SB on highway at MM0 in Chesapeake. travel lane closed. Potential Delays.:50AM,1
71,1,"Accident, left lane blocked on 35W NB after Lexington Ave #traffic ",1
72,1,Accident in #SterlingHeights on Mound Rd SB south of Metro Pkwy #traffic ,1
73,0,"Congratulations #drumMUSTER program, collecting million chemical containers for recycling this week. ",0
74,1,Construction on #NY9D Both directions from Bear Mountain Bridge Road; highway; START ROUTE NY 9D to Slocum Road ,1
75,1,Oklahoma: I40 westbound Choctaw off ramp...injury accident...roadway is partially blocked...MCM,1
76,0,Good mtg w/ FM Working hard to reinvigorate the cessation of hostilities. Appreciate Jordan's acceptance of Syrian refugees.,0
77,0,Using market data to feed the world ,0
78,1,WSBTV reports RT WSBTraffic: New crash in Gwinnett - /sb at Indian Trail Rd. impacts left lanes. Delays buildi… ,1
79,1,Cleared: Construction on #ErieSt Both directions from Thorn St to West St,1
80,1,Sussex S/B closed from York to George - demonstration. Police directing traffic. Duration unknown. Use other routes. #otttraffic,1
81,1,ROAD CLOSURE AVALANCHE DANGER on highway - highway DEVILS CREEK TO TOWN BROWNING from milepost . to . ... ,1
82,1,"Cleared: Planned construction in Broward on highway north before Pembroke Road, left lane blocked. Last updated at ::09PM.",1
83,1,highway E in Davidson Co Crash Multiple Vehicles at EXIT : highway / LOUISVILLE LT. / PICKUP highway LT. at : PM / est clear by : PM /,1
84,1,Construction on #BLine Both directions from Atlantic Avenue-Barclays Center Station to Brighton Beach Station ,1
85,0,Thank you to all the first responders and people helping each other out. That's what we do as Americans. Here's one… ,0
86,0," Hi, Jason. Let's take a look at your wireless signal. Could you DM us your wireless and zip code? ^JamesV",0
87,0,Shoutout to for this album that I jammed to during my mile run yesterday! 🤘,0
88,1,"Overturned Vehicle: Sterling - Atlantic Blvd (in both directions) - At Nokes Blvd - left lane blocked, with injury. #dctraffic",1
89,1,"Cleared: Crash in Lee on highway south ramp from Exit Alico Rd, on-ramp right lane blocked. Last updated at ::43AM.",1
90,0,The Obama Administration had a Bikeshare station installed at the White House in . Trump just got rid of it.… ,0
91,1,"highway, from Int w/ OR212/OR224 to Mi S of @ Sunnyside Rd, Delay &lt; 20min, Road maint ops have the left ln closed... ",1
92,1,Disabled in roadway: MD NORTH PRIOR TO SPECTRUM DR North,1
93,1,#TrafficAlert All lanes blocked on highway SB at the MMMBT. No congestion yet but delays possible. #HRTraffic,1
94,1,Accident &amp; Delays on highway North area of Exit - CT (West Haven) left and Ctr lanes closed...,1
95,0,Congrats #GRAMMYs Song Of The Year nominees! ,0
96,0," Hi, we have sent you an email regarding your concern. Please review. Thank you. ^CE",0
97,0,So it is done. Congratulations on making it through or even years of the toughest A-level. There are plenty who don't. Good luck.,0
98,1,Disabled truck blocking left lane RT 38SB at RT . Significant back up on the southbound side of Main Street. #WilmingtonMA,1
99,1,Closure on #NJ166 NB at NJ ,1
100,1,"Warren County - Bridge/paving work requires lane closures on U.S. Route and State Route 
",1
101,1,"5pm... stalled vehicle in right lane highway East on the Hirise, delays at Elysian Fields. highway East slow from St Bernard Ave.",1
102,1,Cleared: Traffic congestion in Sarasota on highway south from Exit Jacaranda Blvd to at Exit River Rd. Last updated at ::12PM.,1
103,0,"Nice blog, of the work we do together. cc:  ",0
104,1,UPDATE: Southbound at Interstate in St. Louis County is open. One lane of northbound is open. ,1
105,0,"Greenleafers, see you for the tweet party tonight! /9c 🔥🌿 ",0
106,1,Motor Vehicle Crash at highway and Bay Avenue. Eastbound lanes blocked. Use Caution. ,1
107,1,"Cleared: Police activity in Collier on highway south at Mile Marker , left lane blocked. Last updated at ::27AM.",1
108,1,Incident on #MorristownLine EB at Morristown Station and Madison Station ,1
109,0,You can be eligible for future contests by signing up for text and/or email alerts at ,0
110,0,Taking time to check in with yourself is one way to be mindful. Tell us how you do it and we'll share the favorite.,0
111,0,Proud of this video. Over million views in a month. #WhereAreUNow  ,0
112,1,"Cleared: Crash in Duval on highway south at Exit Dunn Ave, left lane blocked. Last updated at ::27PM.",1
113,0,"Take up to $ off, online only through tomorrow! Use code: NEWLOOKS Exclusions Apply. ",0
114,1,Update: Accident: NB on highway at MM14 in Suffolk. travel lane closed. Potential Delays.:22PM,1
115,1,#RedbirdMoveIn Traffic Update: Kingsley St &amp; Hovey Ave - Motor vehicle crash -watch for emergency personnel working. H/T ,1
116,1,Delay: NB on highway at MM160 in Prince William Co. No lanes closed. Delay mi.:14PM,1
117,0,If you think I'm gonna drive all that way/spend all my money just to kill myself trying to beat rainbow road in rea… ,0
118,1,"One lane blocked in #ParkwayEast on highway EB at Forbes Ave, jammed back to Stanwix St, delay of mins #traffic ",1
119,0,New! FHFA’s Andy Leventis explains the conforming loan limit on The HomeFront podcast  #housing #mortgage ,0
120,1,Rdwork on Merritt Pkwy/CT North btw Exit - CT /Weston Rd (Westport) and Exit - CT /Black Rock TPK (Westp...,1
121,0, we apologize for the the inconvenience and understand you wants to watch your Sunday games. Are you getting error messages?,0
122,0,Vegan restaurant owner asks uniformed police officer to leave. Controversy moves to Facebook. ,0
123,0, it would be gladly appreciated if you can show some love she's only a retweet or message ,0
124,1,Utility work on highway&amp; Truck Route northbound area of Duncan Av right lane closed for repairs until AM,1
125,0, and we do not have a where you can reach a tech in the US. If you are in need of technical assistance please DM the /,0
126,0,You missed a good time at  Entertaining interview with one of the industry's best. ,0
127,1,The ramp from SR- NB to Lake Nona Blvd (Exit ) is closed for road work. Motorists are advised to seek an...,1
128,1,"Cleared: Crash in Hillsborough on highway west at Exit Alexander St, right lane blocked. Last updated at ::53PM.",1
129,1,highway MM . NB at highway / mile All lanes slow &lt;= mins due to a crash,1
130,1,On highway westbound just west of Isl Crest Way there is a disabled vehicle blocking the HOV lane.,1
131,1,"Vehicle Accident on Westbound highway WB at I .

 of westbound lanes are closed.",1
132,1,"A dense fog advisory is in effect for Walton
Co. Motorist are advised to use caution. ",1
133,0,"Opening reception planned for -9p Friday at Carrington Arts, W. Water St., Sandusky. ",0
134,1,Accident on highway West btw Exit - Harpers Rd (West) (Waterbury) and Exit - CT (Waterbury) right lane closed...,1
135,1,Obstruction on roadway in #Portland on NW 23rd Ave NB between NW Northrup St and NW Raleigh St #PDXtraffic ,1
136,0,"Fun fact, I was there when they shot this scene and it was SO so so intense. LEGENDS  #ShadesofBlue ",0
137,1,"Cleared: Planned construction in Orange on SR- south at MM , right lane blocked. Last updated at ::00PM.",1
138,0,heavy goods vehicle (noun) definition and synonyms | Macmillan Dictionary ,0
139,0,Last chance to join our competition! Show us how cleaner air inspires you and win a FitBit Blaze #BreatheAndAchieve… ,0
140,0,"Watch out Wonder Woman! 

Nigeria's Chibok girls inspire new  comic  ",0
141,0, We're glad you like it Raymond. Keep living the #spglife,0
142,0, We regret for any inconvenience you had to go through. We understand your concern. We strive to provide our customers (),0
143,1,highway MM . NB at highway / mile All lanes closed hours due to a crash,1
144,0," Hi there! Thanks for reaching out! We have some things lined up for , but we will definitely keep you in mind!",0
145,1,Incident on #MLine at 42nd Street-6th Avenue Station ,1
146,0,New Wave of Online Gambling Brands Exit Australian Market ,0
147,0,"Amazing season my the U11 US Club team. MYSA league champs, regional champs, All American… ",0
148,1,"Updated: Planned construction in Okaloosa on highway west at MM , right lane blocked. Last updated at ::15AM. ",1
149,1,Turnpike Roadwork on Pennsylvania Turnpike highway southbound between Exit - PA and Exit - PA affecting the right lane,1
150,1,"New: Planned construction in Hillsborough on highway south beyond MM , right lanes blocked. Last updated at...",1
151,1,Pottawatomie County: I40 WB Between Kings and Crosslin road is a non-injury accident with the roadway clear...teg,1
152,0,What audiences think of journalists’ social media use ,0
153,1,Updated: Incident on #I95 SB from Exit 5A - White Plains Road to Southern Boulevard ,1
154,0,Europa Clipper Update Planned for International Mars Society Convention: ,0
155,1," SB Sepulveda Blvd. Crash in the left lane…Vehicle facing the wrong way. Heavy from Carson St, NB from PCH #KNXEyeInTheSky",1
156,1,UPDATE- Lifeflight on scene now NB at mm north of in St Johns..NB lanes blocked...use highway as an alterna… ,1
157,1,Cleared: Accident: NB on highway at MM78 in Richmond.:00PM,1
158,0,Join the for a first-look at the atrium space inside the #ShanghaiTower #Gensler,0
